ticker,type,data_points,daily_return_fractal_dimension,daily_return_std_dev,daily_return_kurtosis,daily_return_ki_resonance_score,daily_return_fundamental_freq,volatility_fractal_dimension,volatility_std_dev,volatility_kurtosis,volatility_ki_resonance_score,volatility_fundamental_freq,normalized_volume_fractal_dimension,normalized_volume_std_dev,normalized_volume_kurtosis,normalized_volume_ki_resonance_score,normalized_volume_fundamental_freq,zscore_daily_return_fractal_dimension,zscore_daily_return_std_dev,zscore_daily_return_kurtosis,zscore_daily_return_fundamental_freq,zscore_volatility_fractal_dimension,zscore_volatility_std_dev,zscore_volatility_kurtosis,zscore_volatility_fundamental_freq,zscore_normalized_volume_fractal_dimension,zscore_normalized_volume_std_dev,zscore_normalized_volume_kurtosis,zscore_normalized_volume_fundamental_freq
bno.us,ETFs,1851,0.147540,0.018474,5.662851,0.000000,0.051892,0.294584,0.290781,14.439579,0.000000,0.001080,0.397042,1.214485,39.227834,0.000000,0.003241,-0.021566,-0.013690,-0.153597,-1.629650,-0.416623,-0.012312,-0.329773,-0.243567,-0.281769,-0.204620,-0.632680,-0.313166
boil.us,ETFs,1533,0.177796,0.045964,5.075416,0.000000,0.422324,0.350503,7.046810,14.153124,0.000000,0.005219,0.342508,1.150468,25.473498,0.000000,0.001305,-0.008257,-0.009830,-0.155951,1.057313,-0.108314,-0.012282,-0.331086,-0.152767,-0.810381,-0.282891,-0.734199,-0.352821
bond.us,ETFs,1433,0.164081,0.002274,5.157671,0.813806,0.362430,0.371940,0.145582,67.853928,0.000000,0.002094,0.453891,0.863905,166.105205,0.874195,0.003489,-0.014290,-0.015965,-0.155621,0.622869,0.009877,-0.012312,-0.084886,-0.221339,0.269287,-0.633262,0.303784,-0.308094
braq.us,ETFs,1747,0.278181,0.018927,6.857562,0.000000,0.292096,0.362288,0.150945,17.579558,0.000000,0.002862,0.437185,2.224414,70.122575,0.000000,0.002862,0.035903,-0.013627,-0.148809,0.112695,-0.043335,-0.012312,-0.315377,-0.204475,0.107347,1.030188,-0.404650,-0.320934
brf.us,ETFs,2140,0.220443,0.018559,5.760664,0.868222,0.086957,0.383425,0.322306,24.887703,0.000000,0.002336,0.319453,0.823190,19.239541,0.570344,0.008879,0.010504,-0.013678,-0.153205,-1.375305,0.073200,-0.012312,-0.281872,-0.216008,-1.033862,-0.683043,-0.780211,-0.197754
brzu.us,ETFs,1144,0.246994,0.062253,6.793673,0.827438,0.208224,0.283390,5.315796,7.554522,0.000000,0.003497,0.472159,1.491306,205.579206,0.438687,0.006119,0.022184,-0.007542,-0.149065,-0.495680,-0.478339,-0.012289,-0.361339,-0.190553,0.446360,0.133841,0.595136,-0.254254
bsch.us,ETFs,1868,0.218617,0.002002,10.217048,0.000000,0.464381,0.449060,0.047033,181.162653,0.000000,0.003747,0.594665,1.818181,431.997279,0.801241,0.017131,0.009701,-0.016004,-0.135346,1.362382,0.435078,-0.012313,0.434597,-0.185049,1.633851,0.533499,2.266295,-0.028801
bsci.us,ETFs,1410,0.162315,0.001596,8.193315,0.000000,0.393187,0.408295,0.062656,210.497501,0.000000,0.018440,0.362574,1.211362,71.536026,0.000000,0.004255,-0.015067,-0.016061,-0.143456,0.845964,0.210324,-0.012313,0.569087,0.137344,-0.615879,-0.208438,-0.394218,-0.292409
bscj.us,ETFs,1404,0.141517,0.002015,8.971635,0.869420,0.306486,0.322250,0.039467,40.602331,0.000000,0.001425,0.474059,1.355023,227.206306,0.000000,0.007835,-0.024216,-0.016002,-0.140337,0.217074,-0.264083,-0.012313,-0.209826,-0.236019,0.464780,-0.032789,0.754762,-0.219123
bsck.us,ETFs,1395,0.217969,0.002319,7.671422,0.000000,0.369440,0.410488,0.054018,179.340739,0.000000,0.309677,0.493147,1.626012,241.797570,0.794303,0.015054,0.009415,-0.015959,-0.145547,0.673719,0.222414,-0.012313,0.426244,6.527947,0.649806,0.298541,0.862458,-0.071322
