--- 🔬 STARTING SIMULATION & DATA DUMP ---
Frame, P1_m, P1_l, P2_m, P2_l, P3_m, P3_l
295, -4.19867, -5.33427, 4.89336, -0.30801, 1.23942, 5.65102
296, -5.40968, -3.99269, 4.54318, -1.56477, 2.77434, 5.06284
297, -6.24807, -2.36034, 3.87122, -2.71393, 4.12581, 4.10095
298, -6.64851, -0.54623, 2.91786, -3.67332, 5.19878, 2.82595
299, -6.57624, 1.32750, 1.74329, -4.37381, 5.91594, 1.32167
300, -6.02947, 3.13306, 0.42398, -4.76411, 6.22410, -0.31063
301, -5.03939, 4.74476, -0.95168, -4.81375, 6.09798, -1.95967
302, -3.66950, 6.04876, -2.28970, -4.51577, 5.54246, -3.51095
303, -2.01116, 6.95143, -3.49759, -3.88753, 4.59299, -4.85381
304, -0.17642, 7.38603, -4.49094, -2.96962, 3.31257, -5.89092
305, 1.70783, 7.31732, -5.19851, -1.82409, 1.78760, -6.54525
306, 3.50900, 6.74448, -5.56719, -0.53048, 0.12343, -6.76412
307, 5.09924, 5.70158, -5.56682, 0.82075, -1.56330, -6.52432
308, 6.36222, 4.25586, -5.19269, 2.13430, -3.15285, -5.83497
309, 7.20267, 2.50367, -4.46572, 3.31573, -4.53105, -4.73675
310, 7.55434, 0.56437, -3.43154, 4.27817, -5.59828, -3.29823
311, 7.38422, -1.42815, -2.15740, 4.94901, -6.27478, -1.61334
312, 6.69464, -3.33614, -0.72726, 5.27534, -6.50672, 0.20501
313, 5.52480, -5.02494, 0.76270, 5.22780, -6.27188, 2.03456
314, 3.94842, -6.37311, 2.21016, 4.80292, -5.58026, 3.74985
315, 2.06746, -7.28322, 3.51542, 4.02391, -4.47411, 5.23077
316, 0.00789, -7.68570, 4.58789, 2.93943, -3.02645, 6.37215
317, -2.08975, -7.54765, 5.35118, 1.62065, -1.33473, 7.09140
318, -4.08023, -6.87125, 5.74932, 0.15627, 0.48576, 7.33428
319, -5.82340, -5.69847, 5.75108, -1.35403, 2.30735, 7.07855
320, -7.19559, -4.10523, 5.35260, -2.80588, 4.00119, 6.33617
321, -8.09572, -2.19910, 4.57853, -4.09577, 5.44591, 5.15283
322, -8.45397, -0.11160, 3.47989, -5.12982, 6.53379, 3.60560
323, -8.23845, 2.01328, 2.12981, -5.83192, 7.18123, 1.79822
324, -7.45568, 4.02527, 0.62029, -6.14713, 7.33525, -0.14549
325, -6.15239, 5.77986, -0.94333, -6.04560, 6.97624, -2.09176
326, -4.41024, 7.14875, -2.45046, -5.52705, 6.11960, -3.90628
327, -2.34546, 8.02917, -3.79349, -4.62080, 4.81710, -5.45977
328, -0.09614, 8.35189, -4.87661, -3.38218, 3.15159, -6.64118
329, 2.18419, 8.08547, -5.62072, -1.89082, 1.23200, -7.36450
330, 4.33764, 7.23922, -5.96819, -0.24651, -0.81171, -7.57332
331, 6.21418, 5.86302, -5.88957, 1.44051, -2.83880, -7.24805
332, 7.67877, 4.04516, -5.38532, 3.05573, -4.70781, -6.40547
333, 8.62721, 1.90723, -4.48551, 4.48651, -6.28650, -5.09953
334, 8.98627, -0.40562, -3.24904, 5.63130, -7.46163, -3.41600
335, 8.72434, -2.73351, -1.75896, 6.40751, -8.14438, -1.47047
336, 7.85195, -4.91466, -0.11627, 6.75724, -8.28002, 0.60286
337, 6.42350, -6.79259, 1.56447, 6.65114, -7.85134, 2.65982
338, 4.53261, -8.23085, 3.16408, 6.09092, -6.87935, 4.55385
339, 2.30574, -9.12195, 4.56874, 5.10967, -5.42283, 6.14794
340, -0.10626, -9.39492, 5.67539, 3.77017, -3.57580, 7.32478
341, -2.50241, -9.21139, 6.39964, 2.16120, -1.46150, 7.99509
342, -4.76772, -8.39116, 6.68368, 0.39186, 0.77851, 8.10422
343, -6.74113, -6.98420, 6.49981, -1.41689, 2.99028, 7.63585
344, -8.27920, -5.08163, 5.85226, -3.14103, 5.02112, 6.61387
345, -9.26604, -2.81052, 4.77863, -4.65925, 6.72804, 5.10141
346, -9.62244, -0.32594, 3.34681, -5.86328, 7.98836, 3.19743
347, -9.31299, 2.20184, 1.64985, -6.66675, 8.71050, 1.03067
348, -8.34777, 4.59671, -0.19800, -7.00871, 8.83769, -1.25034
349, -6.78979, 6.69049, -2.06985, -6.86012, 8.35427, -3.48719
350, -4.72991, 8.33194, -3.83510, -6.22657, 7.28660, -5.52228
351, -2.30386, 9.40062, -5.36881, -5.14786, 5.70311, -7.20824
352, 0.32590, 9.81512, -6.56116, -3.69434, 3.70810, -8.42146
353, 2.97944, 9.53855, -7.32336, -1.96450, 1.43628, -9.06865
354, 5.47283, 8.58204, -7.59508, -0.07768, -0.96074, -9.09827
355, 7.63044, 7.00451, -7.35005, 1.83551, -3.30346, -8.50340
356, 9.29793, 4.90925, -6.59697, 3.64010, -5.43701, -7.30685
