PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Basin_Agent> python sand_humanoid_runner_2.py --basin-json basin_structure.json

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

=== Sand Humanoid Runner (with ratchet) ===
Ep 0001 | Return:    208.4 | Loss:      -1.280 | DR: 0.930 | Γ: 1.727 | π: 0.473
Ep 0145 | Return:    118.0 | Loss: -3595528.750 | DR: 0.934 | Γ: 1.731 | π: 0.471
Ep 0146 | Return:    196.3 | Loss: -3668790.750 | DR: 0.973 | Γ: 1.687 | π: 0.468
Ep 0147 | Return:    126.2 | Loss: -3292242.750 | DR: 0.967 | Γ: 1.700 | π: 0.469
Ep 0148 | Return:    150.1 | Loss: -4504529.500 | DR: 0.947 | Γ: 1.688 | π: 0.470
Ep 0149 | Return:    150.9 | Loss: -4521506.000 | DR: 0.943 | Γ: 1.670 | π: 0.472
Ep 0150 | Return:    141.3 | Loss: -5520075.500 | DR: 0.947 | Γ: 1.633 | π: 0.474
    ↳ Ratchet triggered at ep 150: no improvement for 25 eps. Reverting to best_return = 304.5
    ↳ New lr: 2.853e-04
Ep 0151 | Return:    209.9 | Loss:     -28.771 | DR: 0.946 | Γ: 1.709 | π: 0.473
Ep 0152 | Return:    165.9 | Loss:    -237.802 | DR: 0.958 | Γ: 1.710 | π: 0.473
Ep 0153 | Return:     94.6 | Loss:    -118.001 | DR: 0.948 | Γ: 1.725 | π: 0.466
Ep 0154 | Return:    233.0 | Loss:    -460.655 | DR: 0.961 | Γ: 1.695 | π: 0.471
Ep 0155 | Return:    179.1 | Loss:   -2262.861 | DR: 0.939 | Γ: 1.702 | π: 0.472
Ep 0156 | Return:    132.1 | Loss:   -4439.557 | DR: 0.914 | Γ: 1.668 | π: 0.475
Ep 0157 | Return:    107.2 | Loss:   -3693.142 | DR: 0.969 | Γ: 1.772 | π: 0.467
