PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_pendulum.py
[Pendulum] Ep 0224 | R_raw=-1305.27 | len=200 | loss=-0.003
[Pendulum] Ep 0225 | R_raw=-1215.54 | len=200 | loss=-0.074
[Pendulum] Ep 0226 | R_raw=-1302.45 | len=200 | loss=-0.071
[Pendulum] Ep 0227 | R_raw=-1022.20 | len=200 | loss=-0.086
[Pendulum] Ep 0228 | R_raw=-1052.47 | len=200 | loss=0.057
[Pendulum] Ep 0229 | R_raw=-1321.54 | len=200 | loss=-0.013
[Pendulum] Ep 0230 | R_raw=-1615.83 | len=200 | loss=-0.036
[Pendulum] Ep 0231 | R_raw=-1097.88 | len=200 | loss=-0.004
[Pendulum] Ep 0232 | R_raw=-1288.03 | len=200 | loss=-0.055
[Pendulum] Ep 0233 | R_raw=-1433.91 | len=200 | loss=-0.098
[Pendulum] Ep 0234 | R_raw=-922.51 | len=200 | loss=0.009
[Pendulum] Ep 0235 | R_raw=-1187.61 | len=200 | loss=0.025
[Pendulum] Ep 0236 | R_raw=-1622.23 | len=200 | loss=0.014
[Pendulum] Ep 0237 | R_raw=-1448.10 | len=200 | loss=-0.002
[Pendulum] Ep 0238 | R_raw=-1259.77 | len=200 | loss=0.023
[Pendulum] Ep 0239 | R_raw=-970.00 | len=200 | loss=0.014
[Pendulum] Ep 0240 | R_raw=-1430.47 | len=200 | loss=-0.066
[Pendulum] Ep 0241 | R_raw=-1123.75 | len=200 | loss=0.040
[Pendulum] Ep 0242 | R_raw=-1066.48 | len=200 | loss=-0.015
[Pendulum] Ep 0243 | R_raw=-1129.94 | len=200 | loss=-0.129
[Pendulum] Ep 0244 | R_raw=-1062.89 | len=200 | loss=-0.048
[Pendulum] Ep 0245 | R_raw=-1081.79 | len=200 | loss=0.004
[Pendulum] Ep 0246 | R_raw=-1513.30 | len=200 | loss=-0.078
[Pendulum] Ep 0247 | R_raw=-980.17 | len=200 | loss=-0.052
[Pendulum] Ep 0248 | R_raw=-1065.42 | len=200 | loss=-0.002
[Pendulum] Ep 0249 | R_raw=-1135.93 | len=200 | loss=-0.044
[Pendulum] Ep 0250 | R_raw=-909.43 | len=200 | loss=-0.066
[Pendulum] Ep 0251 | R_raw=-1409.02 | len=200 | loss=-0.077
[Pendulum] Ep 0252 | R_raw=-1151.75 | len=200 | loss=0.011
[Pendulum] Ep 0253 | R_raw=-1083.13 | len=200 | loss=-0.120
[Pendulum] Ep 0254 | R_raw=-1093.74 | len=200 | loss=0.026
[Pendulum] Ep 0255 | R_raw=-1566.60 | len=200 | loss=0.064
[Pendulum] Ep 0256 | R_raw=-1082.46 | len=200 | loss=-0.051
[Pendulum] Ep 0257 | R_raw=-1119.69 | len=200 | loss=0.099
[Pendulum] Ep 0258 | R_raw=-1213.06 | len=200 | loss=-0.011
[Pendulum] Ep 0259 | R_raw=-1015.98 | len=200 | loss=-0.031
