PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_multi_2.py
[Pendulum-v1] Ep 0055 | R_raw=-1107.91 | len=200 | loss=-0.040
[Pendulum-v1] Ep 0056 | R_raw=-1230.71 | len=200 | loss=-0.070
[Pendulum-v1] Ep 0057 | R_raw=-1143.46 | len=200 | loss=0.095
[Pendulum-v1] Ep 0058 | R_raw=-1207.61 | len=200 | loss=-0.241
[Pendulum-v1] Ep 0059 | R_raw=-1054.76 | len=200 | loss=0.126
[Pendulum-v1] Ep 0060 | R_raw=-1225.71 | len=200 | loss=-0.153
[Pendulum-v1] Ep 0061 | R_raw=-1240.00 | len=200 | loss=-0.202
[Pendulum-v1] Ep 0062 | R_raw=-1386.25 | len=200 | loss=-0.040
[Pendulum-v1] Ep 0063 | R_raw=-1357.58 | len=200 | loss=-0.075
[Pendulum-v1] Ep 0064 | R_raw=-1252.36 | len=200 | loss=-0.337
[Pendulum-v1] Ep 0065 | R_raw=-1092.73 | len=200 | loss=-0.356
[Pendulum-v1] Ep 0066 | R_raw=-1061.21 | len=200 | loss=-0.459
[Pendulum-v1] Ep 0067 | R_raw=-1355.89 | len=200 | loss=0.054
[Pendulum-v1] Ep 0068 | R_raw=-1342.13 | len=200 | loss=-0.407
[Pendulum-v1] Ep 0069 | R_raw=-1156.20 | len=200 | loss=-0.329
[Pendulum-v1] Ep 0070 | R_raw=-988.67 | len=200 | loss=-0.135
[Pendulum-v1] Ep 0071 | R_raw=-1209.10 | len=200 | loss=-0.140
[Pendulum-v1] Ep 0072 | R_raw=-1223.87 | len=200 | loss=-0.136
[Pendulum-v1] Ep 0073 | R_raw=-1125.04 | len=200 | loss=-0.236
[Pendulum-v1] Ep 0074 | R_raw=-1254.97 | len=200 | loss=-0.259
[Pendulum-v1] Ep 0075 | R_raw=-1210.75 | len=200 | loss=-0.141
[Pendulum-v1] Ep 0076 | R_raw=-1405.54 | len=200 | loss=-0.118
[Pendulum-v1] Ep 0077 | R_raw=-1640.53 | len=200 | loss=-0.045
[Pendulum-v1] Ep 0078 | R_raw=-1195.20 | len=200 | loss=-0.163
[Pendulum-v1] Ep 0079 | R_raw=-1085.03 | len=200 | loss=-0.424
[Pendulum-v1] Ep 0080 | R_raw=-1307.62 | len=200 | loss=-0.154
[Pendulum-v1] Ep 0081 | R_raw=-1284.55 | len=200 | loss=-0.183
[Pendulum-v1] Ep 0082 | R_raw=-1380.40 | len=200 | loss=-0.108
[Pendulum-v1] Ep 0083 | R_raw=-1096.61 | len=200 | loss=0.096
[Pendulum-v1] Ep 0084 | R_raw=-1463.83 | len=200 | loss=-0.090
[Pendulum-v1] Ep 0085 | R_raw=-1231.86 | len=200 | loss=-0.229
[Pendulum-v1] Ep 0086 | R_raw=-1177.35 | len=200 | loss=-0.117
[Pendulum-v1] Ep 0087 | R_raw=-1103.88 | len=200 | loss=-0.077
[Pendulum-v1] Ep 0088 | R_raw=-1336.75 | len=200 | loss=-0.160
[Pendulum-v1] Ep 0089 | R_raw=-1254.05 | len=200 | loss=0.031
[Pendulum-v1] Ep 0090 | R_raw=-1263.44 | len=200 | loss=-0.192
[Pendulum-v1] Ep 0091 | R_raw=-1189.81 | len=200 | loss=-0.033
[Pendulum-v1] Ep 0092 | R_raw=-1342.66 | len=200 | loss=-0.037
[Pendulum-v1] Ep 0093 | R_raw=-1181.41 | len=200 | loss=-0.184
[Pendulum-v1] Ep 0094 | R_raw=-1171.47 | len=200 | loss=-0.087
[Pendulum-v1] Ep 0095 | R_raw=-1211.83 | len=200 | loss=0.030
[Pendulum-v1] Ep 0096 | R_raw=-960.11 | len=200 | loss=-0.065
[Pendulum-v1] Ep 0097 | R_raw=-1052.59 | len=200 | loss=-0.020
[Pendulum-v1] Ep 0098 | R_raw=-1236.52 | len=200 | loss=-0.098
[Pendulum-v1] Ep 0099 | R_raw=-1039.16 | len=200 | loss=-0.087
[Pendulum-v1] Ep 0100 | R_raw=-1233.24 | len=200 | loss=0.033
[Pendulum-v1] Ep 0101 | R_raw=-1162.91 | len=200 | loss=0.081
[Pendulum-v1] Ep 0102 | R_raw=-1043.58 | len=200 | loss=0.021
[Pendulum-v1] Ep 0103 | R_raw=-921.29 | len=200 | loss=-0.000
