PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_cartpole.py
Ep 0459 | R= 500 | len=500 | loss=0.007
Ep 0460 | R= 500 | len=500 | loss=-0.001
Ep 0461 | R= 500 | len=500 | loss=0.012
Ep 0462 | R= 500 | len=500 | loss=0.001
Ep 0463 | R= 500 | len=500 | loss=0.005
Ep 0464 | R= 500 | len=500 | loss=0.016
Ep 0465 | R= 500 | len=500 | loss=0.012
Ep 0466 | R= 500 | len=500 | loss=0.012
Ep 0467 | R= 500 | len=500 | loss=-0.020
Ep 0468 | R= 500 | len=500 | loss=-0.031
Ep 0469 | R= 500 | len=500 | loss=-0.029
Ep 0470 | R= 500 | len=500 | loss=-0.032
Ep 0471 | R= 500 | len=500 | loss=0.019
Ep 0472 | R= 500 | len=500 | loss=-0.021
Ep 0473 | R= 500 | len=500 | loss=0.021
Ep 0474 | R= 500 | len=500 | loss=-0.008
Ep 0475 | R= 500 | len=500 | loss=-0.012
Ep 0476 | R= 500 | len=500 | loss=0.008
Ep 0477 | R= 500 | len=500 | loss=-0.006
Ep 0478 | R= 500 | len=500 | loss=-0.026
Ep 0479 | R= 500 | len=500 | loss=-0.034
Ep 0480 | R= 500 | len=500 | loss=0.014
Ep 0481 | R= 500 | len=500 | loss=0.017
Ep 0482 | R= 500 | len=500 | loss=-0.002
Ep 0483 | R= 500 | len=500 | loss=0.010
Ep 0484 | R= 500 | len=500 | loss=0.008
Ep 0485 | R= 500 | len=500 | loss=0.000
Ep 0486 | R= 500 | len=500 | loss=0.011
Ep 0487 | R= 500 | len=500 | loss=0.016
Ep 0488 | R= 500 | len=500 | loss=0.016
Ep 0489 | R= 500 | len=500 | loss=0.031
Ep 0490 | R= 500 | len=500 | loss=-0.042
Ep 0491 | R= 500 | len=500 | loss=0.012
Ep 0492 | R= 500 | len=500 | loss=-0.004
Ep 0493 | R= 500 | len=500 | loss=-0.026
Ep 0494 | R= 500 | len=500 | loss=0.012
Ep 0495 | R= 500 | len=500 | loss=0.014
Ep 0496 | R= 500 | len=500 | loss=0.007
Ep 0497 | R= 500 | len=500 | loss=-0.005
Ep 0498 | R= 500 | len=500 | loss=0.008
Ep 0499 | R= 500 | len=500 | loss=-0.018
Ep 0500 | R= 500 | len=500 | loss=0.017
