PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_pendulum_minimal.py
Using device: cuda
[Pendulum-Min] Ep 0115 | R_raw=-1455.51 | len=200 | actor_loss=0.033 | critic_loss=94096.055
[Pendulum-Min] Ep 0116 | R_raw=-1199.06 | len=200 | actor_loss=-0.058 | critic_loss=68982.859
[Pendulum-Min] Ep 0117 | R_raw=-1241.14 | len=200 | actor_loss=-0.025 | critic_loss=77855.516
[Pendulum-Min] Ep 0118 | R_raw=-1183.67 | len=200 | actor_loss=0.095 | critic_loss=69511.117
[Pendulum-Min] Ep 0119 | R_raw=-1322.76 | len=200 | actor_loss=-0.041 | critic_loss=73192.242
[Pendulum-Min] Ep 0120 | R_raw=-1232.83 | len=200 | actor_loss=-0.011 | critic_loss=70728.070
[Pendulum-Min] Ep 0121 | R_raw=-1097.37 | len=200 | actor_loss=-0.061 | critic_loss=56121.668
[Pendulum-Min] Ep 0122 | R_raw=-1284.97 | len=200 | actor_loss=-0.004 | critic_loss=74864.180
[Pendulum-Min] Ep 0123 | R_raw=-1151.22 | len=200 | actor_loss=0.029 | critic_loss=54717.738
[Pendulum-Min] Ep 0124 | R_raw=-1308.88 | len=200 | actor_loss=0.035 | critic_loss=84886.148
[Pendulum-Min] Ep 0125 | R_raw=-1361.99 | len=200 | actor_loss=0.011 | critic_loss=87893.570
[Pendulum-Min] Ep 0126 | R_raw=-1173.17 | len=200 | actor_loss=0.043 | critic_loss=64153.000
[Pendulum-Min] Ep 0127 | R_raw=-1209.19 | len=200 | actor_loss=0.088 | critic_loss=67556.656
[Pendulum-Min] Ep 0128 | R_raw=-1219.89 | len=200 | actor_loss=0.001 | critic_loss=64315.207
[Pendulum-Min] Ep 0129 | R_raw=-1234.13 | len=200 | actor_loss=-0.098 | critic_loss=73270.617
[Pendulum-Min] Ep 0130 | R_raw=-1224.79 | len=200 | actor_loss=0.084 | critic_loss=83335.055
[Pendulum-Min] Ep 0131 | R_raw=-1353.94 | len=200 | actor_loss=0.018 | critic_loss=92388.281
[Pendulum-Min] Ep 0132 | R_raw=-1381.62 | len=200 | actor_loss=-0.005 | critic_loss=92619.938
[Pendulum-Min] Ep 0133 | R_raw=-1392.16 | len=200 | actor_loss=0.003 | critic_loss=92037.000
[Pendulum-Min] Ep 0134 | R_raw=-1309.28 | len=200 | actor_loss=0.007 | critic_loss=85803.977
[Pendulum-Min] Ep 0135 | R_raw=-1370.25 | len=200 | actor_loss=-0.046 | critic_loss=90397.875
[Pendulum-Min] Ep 0136 | R_raw=-1263.80 | len=200 | actor_loss=0.007 | critic_loss=87107.078
[Pendulum-Min] Ep 0137 | R_raw=-1379.73 | len=200 | actor_loss=0.083 | critic_loss=95691.078
[Pendulum-Min] Ep 0138 | R_raw=-1274.22 | len=200 | actor_loss=-0.032 | critic_loss=76491.242
[Pendulum-Min] Ep 0139 | R_raw=-1307.47 | len=200 | actor_loss=0.061 | critic_loss=78921.211
[Pendulum-Min] Ep 0140 | R_raw=-1353.12 | len=200 | actor_loss=-0.029 | critic_loss=83811.250
[Pendulum-Min] Ep 0141 | R_raw=-1344.20 | len=200 | actor_loss=-0.005 | critic_loss=86484.477
[Pendulum-Min] Ep 0142 | R_raw=-1353.75 | len=200 | actor_loss=-0.022 | critic_loss=88746.109
[Pendulum-Min] Ep 0143 | R_raw=-1353.67 | len=200 | actor_loss=0.065 | critic_loss=75725.250
[Pendulum-Min] Ep 0144 | R_raw=-1338.16 | len=200 | actor_loss=0.127 | critic_loss=82704.312
[Pendulum-Min] Ep 0145 | R_raw=-1410.76 | len=200 | actor_loss=-0.055 | critic_loss=95940.219
[Pendulum-Min] Ep 0146 | R_raw=-1386.14 | len=200 | actor_loss=-0.040 | critic_loss=91378.109
[Pendulum-Min] Ep 0147 | R_raw=-1320.63 | len=200 | actor_loss=0.005 | critic_loss=77034.211
[Pendulum-Min] Ep 0148 | R_raw=-1396.70 | len=200 | actor_loss=-0.088 | critic_loss=101202.836
[Pendulum-Min] Ep 0149 | R_raw=-1380.07 | len=200 | actor_loss=0.045 | critic_loss=98167.320
[Pendulum-Min] Ep 0150 | R_raw=-1454.60 | len=200 | actor_loss=-0.018 | critic_loss=96574.125
[Pendulum-Min] Ep 0151 | R_raw=-1377.11 | len=200 | actor_loss=0.004 | critic_loss=95272.320
[Pendulum-Min] Ep 0152 | R_raw=-1370.11 | len=200 | actor_loss=-0.046 | critic_loss=92333.500
[Pendulum-Min] Ep 0153 | R_raw=-1378.27 | len=200 | actor_loss=0.075 | critic_loss=92717.438
[Pendulum-Min] Ep 0154 | R_raw=-1416.31 | len=200 | actor_loss=-0.053 | critic_loss=99802.758
[Pendulum-Min] Ep 0155 | R_raw=-1379.23 | len=200 | actor_loss=-0.015 | critic_loss=87225.602
[Pendulum-Min] Ep 0156 | R_raw=-1450.01 | len=200 | actor_loss=0.010 | critic_loss=101918.281
[Pendulum-Min] Ep 0157 | R_raw=-1499.14 | len=200 | actor_loss=-0.007 | critic_loss=107824.180
[Pendulum-Min] Ep 0158 | R_raw=-1487.92 | len=200 | actor_loss=-0.054 | critic_loss=107689.961
[Pendulum-Min] Ep 0159 | R_raw=-1503.68 | len=200 | actor_loss=-0.041 | critic_loss=107190.906
[Pendulum-Min] Ep 0160 | R_raw=-1370.17 | len=200 | actor_loss=0.098 | critic_loss=85755.430
[Pendulum-Min] Ep 0161 | R_raw=-1390.68 | len=200 | actor_loss=0.038 | critic_loss=93315.898
[Pendulum-Min] Ep 0162 | R_raw=-1368.61 | len=200 | actor_loss=0.048 | critic_loss=95592.406
[Pendulum-Min] Ep 0163 | R_raw=-1378.57 | len=200 | actor_loss=0.057 | critic_loss=94540.938
[Pendulum-Min] Ep 0164 | R_raw=-1374.75 | len=200 | actor_loss=0.040 | critic_loss=91649.680
[Pendulum-Min] Ep 0165 | R_raw=-1506.59 | len=200 | actor_loss=0.016 | critic_loss=112055.086
