PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_pendulum_elite_2.py
Using device: cuda
[INIT] best_eval=-1261.30

=== Generation 1/50 ===
[Train] Gen 4 Ep 3/30 GlobalEp 93 | R_raw=-1316.86 | len=200 | actor_loss=0.046 | critic_loss=81748.828
[Train] Gen 4 Ep 4/30 GlobalEp 94 | R_raw=-1756.46 | len=200 | actor_loss=-0.070 | critic_loss=146691.328
[Train] Gen 4 Ep 5/30 GlobalEp 95 | R_raw=-1183.58 | len=200 | actor_loss=-0.025 | critic_loss=66877.156
[Train] Gen 4 Ep 6/30 GlobalEp 96 | R_raw=-1044.28 | len=200 | actor_loss=-0.032 | critic_loss=51758.754
[Train] Gen 4 Ep 7/30 GlobalEp 97 | R_raw=-995.77 | len=200 | actor_loss=0.029 | critic_loss=45617.355
[Train] Gen 4 Ep 8/30 GlobalEp 98 | R_raw=-1288.58 | len=200 | actor_loss=-0.041 | critic_loss=77593.617
[Train] Gen 4 Ep 9/30 GlobalEp 99 | R_raw=-920.66 | len=200 | actor_loss=-0.092 | critic_loss=43265.141
[Train] Gen 4 Ep 10/30 GlobalEp 100 | R_raw=-1042.11 | len=200 | actor_loss=0.039 | critic_loss=56032.109
[Train] Gen 4 Ep 11/30 GlobalEp 101 | R_raw=-992.06 | len=200 | actor_loss=-0.065 | critic_loss=46945.828
[Train] Gen 4 Ep 12/30 GlobalEp 102 | R_raw=-983.10 | len=200 | actor_loss=-0.019 | critic_loss=50509.051
[Train] Gen 4 Ep 13/30 GlobalEp 103 | R_raw=-1014.45 | len=200 | actor_loss=-0.044 | critic_loss=49821.859
[Train] Gen 4 Ep 14/30 GlobalEp 104 | R_raw=-962.64 | len=200 | actor_loss=-0.026 | critic_loss=46495.453
[Train] Gen 4 Ep 15/30 GlobalEp 105 | R_raw=-969.82 | len=200 | actor_loss=-0.049 | critic_loss=41625.051
[Train] Gen 4 Ep 16/30 GlobalEp 106 | R_raw=-1308.73 | len=200 | actor_loss=0.025 | critic_loss=76581.539
[Train] Gen 4 Ep 17/30 GlobalEp 107 | R_raw=-1083.41 | len=200 | actor_loss=0.001 | critic_loss=52812.820
[Train] Gen 4 Ep 18/30 GlobalEp 108 | R_raw=-1434.94 | len=200 | actor_loss=0.025 | critic_loss=97033.117
[Train] Gen 4 Ep 19/30 GlobalEp 109 | R_raw=-901.26 | len=200 | actor_loss=-0.039 | critic_loss=48713.555
